,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
0,601,Much Ado About Nothing,William Shakespeare,4.06,252564,Not found,B0DSZLYTS1,"249 pages, Paperback","Genres
Plays
Fiction
Classics
Romance
School
Literature
Poetry"
1,602,Far From the Madding Crowd,Thomas Hardy,3.97,160741,Not found,Not found,"433 pages, Paperback","Genres
Classics
Fiction
Romance
Historical Fiction
Literature
19th Century
Victorian"
2,603,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.10,553652,9781786495259,1786495252,"248 pages, Paperback","Genres
Fiction
LGBT
Queer
Contemporary
Audiobook
Gay
Coming Of Age"
3,604,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.63,1002224,Not found,Not found,"689 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Romantasy
Fae
Fiction
New Adult"
4,605,"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06,146681,9780142000687,014200068X,"181 pages, Paperback","Genres
Fiction
Classics
Literature
Historical Fiction
American
Novels
Book Club"
5,606,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,214244,9780553213140,0553213148,"276 pages, Mass Market Paperback","Genres
Fiction
Young Adult
Historical Fiction
Classics
Childrens
Audiobook
Romance"
6,607,"Bared to You (Crossfire, #1)",Sylvia Day,4.13,541984,Not found,Not found,"352 pages, Paperback","Genres
Romance
Erotica
Contemporary
Contemporary Romance
Adult
Fiction
Erotic Romance"
7,608,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.04,262072,9780802798237,0802798233,"368 pages, Hardcover","Genres
Romance
Young Adult
Contemporary
High School
Contemporary Romance
Fiction
New Adult"
8,609,A Monster Calls,Patrick Ness,4.35,279755,9781406361803,1406361801,"237 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Horror
Middle Grade
Contemporary
Magical Realism"
9,610,"Cry, the Beloved Country",Alan Paton,3.92,77614,9780743261951,074326195X,"316 pages, Hardcover","Genres
Fiction
Classics
Historical Fiction
South Africa
Book Club
Literature
School"
10,611,The Polar Express,Chris Van Allsburg,4.32,245473,9780395389492,0395389496,"32 pages, Hardcover","Genres
Picture Books
Childrens
Christmas
Fiction
Classics
Fantasy
Holiday"
11,612,Are You My Mother?,P.D. Eastman,4.22,248987,9780001713222,0001713221,"64 pages, Paperback","Genres
Childrens
Fiction
Picture Books
Animals
Classics
Family
Kids"
12,613,"Torment (Fallen, #2)",Lauren Kate,3.84,241354,9780385739146,0385739141,"452 pages, Hardcover","Genres
Young Adult
Fantasy
Romance
Angels
Paranormal
Paranormal Romance
Supernatural"
13,614,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21,297294,Not found,B001OLU644,"335 pages, Paperback","Genres
Classics
Historical Fiction
Childrens
Fiction
Young Adult
Historical
Middle Grade"
14,615,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.46,1749784,9781681196282,168119628X,"757 pages, Hardcover","Genres
Fantasy
Romance
Romantasy
Fiction
Fae
Fantasy Romance
Audiobook"
15,616,Sarah's Key,Tatiana de Rosnay,4.18,486190,9780312370831,0312370830,"294 pages, Hardcover","Genres
Historical Fiction
Fiction
Book Club
Holocaust
Historical
World War II
France"
16,617,Daisy Jones & The Six,Taylor Jenkins Reid,4.20,1713960,9781524798628,1524798622,"368 pages, Hardcover","Genres
Fiction
Historical Fiction
Audiobook
Book Club
Contemporary
Music
Historical"
17,618,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25,539645,Not found,Not found,"368 pages, Paperback","Genres
Nonfiction
Adventure
Memoir
Travel
Biography
History
Survival"
18,619,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.80,224597,9780689875342,0689875347,"403 pages, Hardcover","Genres
Fantasy
Young Adult
Historical Fiction
Fiction
Historical
Paranormal
Romance"
19,620,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.40,390315,9780312642976,0312642970,"552 pages, Hardcover","Genres
Fantasy
Young Adult
Science Fiction
Romance
Retellings
Dystopia
Fiction"
20,621,I'll Give You the Sun,Jandy Nelson,4.15,349638,9780803734968,0803734964,"371 pages, Hardcover","Genres
Young Adult
Contemporary
Romance
Fiction
LGBT
Queer
Realistic Fiction"
21,622,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.27,278305,9780553283686,0553283685,"500 pages, Mass Market Paperback","Genres
Science Fiction
Fiction
Fantasy
Space Opera
Audiobook
Science Fiction Fantasy
Horror"
22,623,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.10,414391,9781423113386,1423113381,"528 pages, Hardcover","Genres
Fantasy
Mythology
Young Adult
Middle Grade
Fiction
Adventure
Childrens"
23,624,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21,279493,9780060885373,0060885378,"224 pages, Paperback","Genres
Classics
Historical Fiction
Childrens
Fiction
Young Adult
Historical
Middle Grade"
24,625,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,3.75,819771,9780062457790,0062457799,"389 pages, Hardcover","Genres
Romance
Young Adult
LGBT
Fiction
Contemporary
Queer
Audiobook"
25,626,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,375297,9780439861366,0439861365,"224 pages, Paperback","Genres
Fantasy
Fiction
Young Adult
Childrens
Christian
Adventure
Middle Grade"
26,627,"Chocolat (Chocolat, #1)",Joanne Harris,3.96,128737,9780141000183,014100018X,"306 pages, Paperback","Genres
Fiction
Romance
Magical Realism
France
Fantasy
Contemporary
Historical Fiction"
27,628,Cutting for Stone,Abraham Verghese,4.33,410562,9780375414497,0375414495,"560 pages, Hardcover","Genres
Fiction
Book Club
Historical Fiction
Africa
Medicine
Ethiopia
Medical"
